time_index,area,num_people
26,IM1,5
26,GH,12
26,IM2,0
26,L,4
26,C,5
26,M,1
26,A,0
27,Outside,78
27,K,10
27,N,2
27,G,15
27,B,5
27,D,16
27,E,19
27,F,14
27,H,15
27,J,9
27,IM1,7
27,GH,9
27,IM2,4
27,L,3
27,C,6
27,M,2
27,A,0
28,Outside,92
28,K,7
28,N,2
28,G,13
28,B,5
28,D,17
28,E,20
28,F,13
28,H,14
28,J,6
28,IM1,7
28,GH,11
28,IM2,2
28,L,6
28,C,4
28,M,1
28,A,0
29,Outside,76
29,K,9
29,N,1
29,G,12
29,B,5
29,D,17
29,E,26
29,F,14
29,H,20
29,J,5
29,IM1,3
29,GH,11
29,IM2,2
29,L,6
29,C,4
29,M,1
29,A,0
30,Outside,80
30,K,8
30,N,1
30,G,18
30,B,4
30,D,13
30,E,22
30,F,17
30,H,21
30,J,5
30,IM1,7
30,GH,9
30,IM2,1
30,L,4
30,C,7
30,M,1
30,A,0
31,Outside,93
31,K,12
31,N,1
31,G,14
31,B,4
31,D,15
31,E,14
31,F,12
31,H,17
31,J,7
31,IM1,7
31,GH,12
31,IM2,1
31,L,5
31,C,5
31,M,2
31,A,0
32,Outside,77
32,K,11
32,N,1
32,G,13
32,B,5
32,D,20
32,E,20
32,F,20
32,H,20
32,J,3
32,IM1,7
32,GH,11
32,IM2,1
32,L,6
32,C,4
32,M,1
32,A,0
33,Outside,87
33,K,10
33,N,1
33,G,12
33,B,8
33,D,14
33,E,16
33,F,17
33,H,25
33,J,5
33,IM1,6
33,GH,10
33,IM2,1
33,L,5
33,C,3
33,M,2
33,A,0
34,Outside,83
34,K,10
34,N,1
34,G,13
34,B,3
34,D,19
34,E,16
34,F,17
34,H,17
34,J,5
34,IM1,8
34,GH,12
34,IM2,2
34,L,2
34,C,6
34,M,1
34,A,0
35,Outside,81
35,K,9
35,N,1
35,G,10
35,B,1
35,D,18
35,E,16
35,F,17
35,H,22
35,J,7
35,IM1,6
35,GH,12
35,IM2,1
35,L,3
35,C,6
35,M,2
35,A,0
36,Outside,88
36,K,5
36,N,1
36,G,13
36,B,4
36,D,14
36,E,17
36,F,16
36,H,21
36,J,4
36,IM1,8
36,GH,12
36,IM2,3
36,L,4
36,C,8
36,M,1
36,A,0
37,Outside,86
37,K,7
37,N,1
37,G,12
37,B,5
37,D,17
37,E,18
37,F,18
37,H,19
37,J,5
37,IM1,9
37,GH,17
37,IM2,3
37,L,3
37,C,5
37,M,1
37,A,0
38,Outside,87
38,K,6
38,N,2
38,G,13
38,B,5
38,D,18
38,E,16
38,F,18
38,H,16
38,J,5
38,IM1,9
38,GH,13
38,IM2,0
38,L,4
38,C,5
38,M,1
38,A,0
39,Outside,86
39,K,8
39,N,2
39,G,14
39,B,2
39,D,15
39,E,15
39,F,15
39,H,18
39,J,5
39,IM1,6
39,GH,17
39,IM2,2
39,L,1
39,C,6
39,M,0
39,A,0
40,Outside,77
40,K,10
40,N,2
40,G,14
40,B,5
40,D,16
40,E,19
40,F,12
40,H,16
40,J,6
40,IM1,11
40,GH,14
40,IM2,0
40,L,3
40,C,6
40,M,0
40,A,0
41,Outside,93
41,K,12
41,N,1
41,G,13
41,B,4
41,D,14
41,E,19
41,F,8
41,H,19
41,J,2
41,IM1,7
41,GH,16
41,IM2,0
41,L,3
41,C,6
41,M,2
41,A,0
42,Outside,75
42,K,8
42,N,2
42,G,16
42,B,7
42,D,16
42,E,18
42,F,13
42,H,21
42,J,3
42,IM1,8
42,GH,11
42,IM2,2
42,L,4
42,C,2
42,M,2
42,A,0
43,Outside,77
43,K,10
43,N,1
43,G,12
43,B,3
43,D,18
43,E,17
43,F,14
43,H,16
43,J,5
43,IM1,10
43,GH,9
43,IM2,1
43,L,4
43,C,4
43,M,2
43,A,0
44,Outside,74
44,K,7
44,N,1
44,G,12
44,B,4
44,D,23
44,E,20
44,F,11
44,H,18
44,J,3
44,IM1,4
44,GH,18
44,IM2,1
44,L,3
44,C,8
44,M,1
44,A,0
45,Outside,79
45,K,9
45,N,0
45,G,16
45,B,3
45,D,18
45,E,21
45,F,8
45,H,23
45,J,2
45,IM1,6
45,GH,9
45,IM2,0
45,L,5
45,C,6
45,M,1
45,A,0
46,Outside,76
46,K,7
46,N,0
46,G,14
46,B,6
46,D,15
46,E,20
46,F,15
46,H,19
46,J,2
46,IM1,4
46,GH,12
46,IM2,4
46,L,6
46,C,8
46,M,0
46,A,0
47,Outside,79
47,K,11
47,N,1
47,G,13
47,B,3
47,D,18
47,E,21
47,F,15
47,H,21
47,J,3
47,IM1,5
47,GH,9
47,IM2,5
47,L,3
47,C,8
47,M,0
47,A,0
48,Outside,68
48,K,6
48,N,1
48,G,13
48,B,4
48,D,17
48,E,24
48,F,16
48,H,23
48,J,3
48,IM1,6
48,GH,13
48,IM2,4
48,L,4
48,C,10
48,M,1
48,A,0
49,Outside,87
49,K,7
49,N,1
49,G,11
49,B,5
49,D,19
49,E,26
49,F,10
49,H,18
49,J,2
49,IM1,3
49,GH,15
49,IM2,4
49,L,4
49,C,7
49,M,0
49,A,0
50,Outside,80
50,K,8
50,N,2
50,G,11
50,B,5
50,D,24
50,E,21
50,F,13
50,H,19
50,J,4
50,IM1,7
50,GH,14
50,IM2,3
50,L,4
50,C,4
50,M,2
50,A,0
51,Outside,103
51,K,8
51,N,1
51,G,10
51,B,4
51,D,17
51,E,18
51,F,13
51,H,18
51,J,2
51,IM1,9
51,GH,10
51,IM2,1
51,L,4
51,C,8
51,M,0
51,A,0
52,Outside,85
52,K,9
52,N,0
52,G,12
52,B,9
52,D,25
52,E,21
52,F,12
52,H,17
52,J,3
52,IM1,6
52,GH,12
52,IM2,2
52,L,5
52,C,3
52,M,2
52,A,0
53,Outside,79
53,K,10
53,N,2
53,G,13
53,B,4
53,D,23
53,E,20
53,F,12
53,H,22
53,J,5
53,IM1,5
53,GH,8
53,IM2,6
53,L,0
53,C,7
53,M,0
53,A,0
54,Outside,72
54,K,11
54,N,2
54,G,16
54,B,6
54,D,19
54,E,24
54,F,11
54,H,22
54,J,5
54,IM1,4
54,GH,10
54,IM2,1
54,L,3
54,C,10
54,M,2
54,A,0
55,Outside,90
55,K,8
55,N,2
55,G,12
55,B,5
55,D,16
55,E,23
55,F,13
55,H,23
55,J,3
55,IM1,4
55,GH,7
55,IM2,0
55,L,3
55,C,8
55,M,2
55,A,0
56,Outside,82
56,K,10
56,N,1
56,G,11
56,B,6
56,D,14
56,E,28
56,F,10
56,H,24
56,J,3
56,IM1,4
56,GH,8
56,IM2,1
56,L,4
56,C,8
56,M,0
56,A,0
57,Outside,93
57,K,9
57,N,0
57,G,12
57,B,6
57,D,16
57,E,18
57,F,9
57,H,23
57,J,2
57,IM1,4
57,GH,10
57,IM2,2
57,L,2
57,C,6
57,M,0
57,A,0
58,Outside,95
58,K,10
58,N,1
58,G,13
58,B,5
58,D,15
58,E,18
58,F,12
58,H,18
58,J,2
58,IM1,4
58,GH,14
58,IM2,1
58,L,3
58,C,7
58,M,0
58,A,0
59,Outside,82
59,K,11
59,N,0
59,G,17
59,B,8
59,D,14
59,E,20
59,F,7
59,H,20
59,J,3
59,IM1,3
59,GH,10
59,IM2,2
59,L,3
59,C,7
59,M,1
59,A,0
60,Outside,71
60,K,13
60,N,1
60,G,9
60,B,7
60,D,17
60,E,16
60,F,15
60,H,23
60,J,1
60,IM1,5
60,GH,13
60,IM2,1
60,L,5
60,C,8
60,M,1
