time_index,area,num_people,area_m2,density,congestion
4,F,4,438.7231945461476,0.0091173661427632,0.0182347322855264
4,E,7,583.1261941650279,0.0120042626622582,0.0240085253245164
4,H,12,628.9629458340296,0.0190790253694317,0.0381580507388634
4,GH,12,844.1888963399747,0.0142148280462188,0.0284296560924376
4,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
4,IM2,0,464.7433054559947,0.0,0.0
4,J,2,562.7925975599836,0.0035537070115547,0.0071074140231094
4,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
4,IM1,4,414.08163255867794,0.0096599310026946,0.0193198620053892
4,L,0,660.6695710486767,0.0,0.0
4,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
4,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
4,A,0,595.5331344664123,0.0,0.0
5,Outside,126,,,
5,K,13,620.3470150691795,0.0209560128189708,0.0419120256379416
5,G,14,440.4463806991165,0.0317859349366838,0.0635718698733676
5,D,11,616.3836869173489,0.0178460271312712,0.0356920542625424
5,F,9,438.7231945461476,0.0205140738212174,0.0410281476424348
5,E,13,583.1261941650279,0.0222936306584796,0.0445872613169592
5,H,13,628.9629458340296,0.0206689441502177,0.0413378883004354
5,GH,15,844.1888963399747,0.0177685350577735,0.035537070115547
5,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
5,IM2,0,464.7433054559947,0.0,0.0
5,J,3,562.7925975599836,0.005330560517332,0.010661121034664
5,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
5,IM1,4,414.08163255867794,0.0096599310026946,0.0193198620053892
5,L,0,660.6695710486767,0.0,0.0
5,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
5,M,0,672.0425996582782,0.0,0.0
5,A,0,595.5331344664123,0.0,0.0
6,Outside,151,,,
6,K,5,620.3470150691795,0.0080600049303733,0.0161200098607466
6,G,12,440.4463806991165,0.0272450870885861,0.0544901741771722
6,D,11,616.3836869173489,0.0178460271312712,0.0356920542625424
6,F,8,438.7231945461476,0.0182347322855265,0.036469464571053
6,E,14,583.1261941650279,0.0240085253245165,0.048017050649033
6,H,11,628.9629458340296,0.0174891065886458,0.0349782131772916
6,GH,10,844.1888963399747,0.0118456900385156,0.0236913800770312
6,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
6,IM2,0,464.7433054559947,0.0,0.0
6,J,4,562.7925975599836,0.0071074140231094,0.0142148280462188
6,C,1,637.5788765988797,0.0015684333918564,0.0031368667837128
6,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
6,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
6,N,0,500.4132588224709,0.0,0.0
6,M,0,672.0425996582782,0.0,0.0
6,A,0,595.5331344664123,0.0,0.0
7,Outside,135,,,
7,K,10,620.3470150691795,0.0161200098607467,0.0322400197214934
7,G,17,440.4463806991165,0.0385972067088303,0.0771944134176606
7,D,13,616.3836869173489,0.0210907593369569,0.0421815186739138
7,F,9,438.7231945461476,0.0205140738212174,0.0410281476424348
7,E,10,583.1261941650279,0.0171489466603689,0.0342978933207378
7,H,9,628.9629458340296,0.0143092690270738,0.0286185380541476
7,GH,11,844.1888963399747,0.0130302590423672,0.0260605180847344
7,B,3,736.6620803946497,0.0040724235437676,0.0081448470875352
7,IM2,0,464.7433054559947,0.0,0.0
7,J,4,562.7925975599836,0.0071074140231094,0.0142148280462188
7,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
7,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
7,L,1,660.6695710486767,0.0015136159493658,0.0030272318987316
7,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
