time_index,area,num_people
26,D,15
26,L,1
26,IM2,5
26,J,1
26,B,3
26,M,0
26,A,0
27,Outside,105
27,IM1,5
27,E,22
27,C,5
27,K,6
27,N,7
27,H,10
27,GH,4
27,G,16
27,F,27
27,D,12
27,L,1
27,IM2,7
27,J,1
27,B,2
27,M,0
27,A,0
28,Outside,114
28,IM1,9
28,E,13
28,C,4
28,K,4
28,N,7
28,H,9
28,GH,8
28,G,17
28,F,18
28,D,15
28,L,3
28,IM2,3
28,J,2
28,B,4
28,M,0
28,A,0
29,Outside,107
29,IM1,9
29,E,18
29,C,4
29,K,6
29,N,7
29,H,12
29,GH,7
29,G,12
29,F,24
29,D,12
29,L,2
29,IM2,4
29,J,6
29,B,3
29,M,0
29,A,0
30,Outside,99
30,IM1,5
30,E,24
30,C,5
30,K,6
30,N,6
30,H,9
30,GH,11
30,G,18
30,F,20
30,D,15
30,L,2
30,IM2,6
30,J,7
30,B,2
30,M,0
30,A,0
31,Outside,121
31,IM1,5
31,E,16
31,C,5
31,K,2
31,N,7
31,H,11
31,GH,18
31,G,10
31,F,13
31,D,12
31,L,1
31,IM2,4
31,J,3
31,B,2
31,M,0
31,A,0
32,Outside,103
32,IM1,12
32,E,14
32,C,4
32,K,3
32,N,7
32,H,18
32,GH,10
32,G,11
32,F,26
32,D,9
32,L,2
32,IM2,4
32,J,4
32,B,2
32,M,0
32,A,0
33,Outside,122
33,IM1,6
33,E,13
33,C,5
33,K,3
33,N,8
33,H,10
33,GH,5
33,G,18
33,F,19
33,D,9
33,L,1
33,IM2,5
33,J,4
33,B,2
33,M,0
33,A,0
34,Outside,112
34,IM1,7
34,E,22
34,C,3
34,K,3
34,N,9
34,H,12
34,GH,7
34,G,18
34,F,8
34,D,12
34,L,2
34,IM2,4
34,J,4
34,B,2
34,M,0
34,A,0
35,Outside,113
35,IM1,4
35,E,21
35,C,8
35,K,5
35,N,7
35,H,13
35,GH,3
35,G,17
35,F,11
35,D,12
35,L,2
35,IM2,5
35,J,6
35,B,3
35,M,0
35,A,0
36,Outside,106
36,IM1,8
36,E,11
36,C,5
36,K,5
36,N,8
36,H,14
36,GH,12
36,G,23
36,F,13
36,D,16
36,L,2
36,IM2,4
36,J,5
36,B,3
36,M,1
36,A,0
37,Outside,113
37,IM1,4
37,E,16
37,C,3
37,K,3
37,N,7
37,H,10
37,GH,13
37,G,14
37,F,14
37,D,15
37,L,4
37,IM2,4
37,J,4
37,B,2
37,M,1
37,A,0
38,Outside,117
38,IM1,10
38,E,16
38,C,5
38,K,5
38,N,7
38,H,11
38,GH,10
38,G,15
38,F,12
38,D,8
38,L,0
38,IM2,3
38,J,5
38,B,3
38,M,0
38,A,0
39,Outside,113
39,IM1,9
39,E,13
39,C,4
39,K,3
39,N,7
39,H,14
39,GH,10
39,G,19
39,F,14
39,D,12
39,L,3
39,IM2,2
39,J,4
39,B,2
39,M,1
39,A,0
40,Outside,122
40,IM1,0
40,E,15
40,C,4
40,K,5
40,N,7
40,H,10
40,GH,18
40,G,14
40,F,15
40,D,11
40,L,1
40,IM2,2
40,J,3
40,B,2
40,M,0
40,A,1
41,Outside,125
41,IM1,5
41,E,17
41,C,3
41,K,3
41,N,6
41,H,10
41,GH,8
41,G,16
41,F,11
41,D,13
41,L,1
41,IM2,3
41,J,3
41,B,2
41,M,0
41,A,0
42,Outside,123
42,IM1,12
42,E,11
42,C,4
42,K,4
42,N,7
42,H,10
42,GH,6
42,G,13
42,F,11
42,D,18
42,L,3
42,IM2,2
42,J,1
42,B,2
42,M,0
42,A,1
43,Outside,91
43,IM1,8
43,E,23
43,C,4
43,K,5
43,N,7
43,H,15
43,GH,10
43,G,16
43,F,18
43,D,17
43,L,2
43,IM2,3
43,J,5
43,B,1
43,M,0
43,A,0
44,Outside,99
44,IM1,10
44,E,20
44,C,5
44,K,6
44,N,7
44,H,10
44,GH,11
44,G,20
44,F,14
44,D,15
44,L,3
44,IM2,1
44,J,3
44,B,2
44,M,1
44,A,0
45,Outside,109
45,IM1,7
45,E,13
45,C,3
45,K,7
45,N,7
45,H,22
45,GH,6
45,G,5
45,F,17
45,D,11
45,L,3
45,IM2,3
45,J,5
45,B,2
45,M,0
45,A,0
46,Outside,113
46,IM1,7
46,E,20
46,C,6
46,K,7
46,N,3
46,H,11
46,GH,4
46,G,22
46,F,14
46,D,10
46,L,3
46,IM2,7
46,J,2
46,B,1
46,M,1
46,A,0
47,Outside,118
47,IM1,8
47,E,17
47,C,6
47,K,5
47,N,6
47,H,12
47,GH,8
47,G,14
47,F,15
47,D,10
47,L,2
47,IM2,4
47,J,3
47,B,2
47,M,0
47,A,0
48,Outside,107
48,IM1,8
48,E,20
48,C,7
48,K,2
48,N,5
48,H,13
48,GH,10
48,G,19
48,F,16
48,D,12
48,L,3
48,IM2,2
48,J,3
48,B,2
48,M,0
48,A,0
49,Outside,110
49,IM1,4
49,E,22
49,C,5
49,K,6
49,N,3
49,H,14
49,GH,6
49,G,11
49,F,16
49,D,16
49,L,2
49,IM2,5
49,J,1
49,B,0
49,M,1
49,A,0
50,Outside,98
50,IM1,11
50,E,20
50,C,5
50,K,4
50,N,3
50,H,16
50,GH,7
50,G,18
50,F,15
50,D,11
50,L,4
50,IM2,3
50,J,2
50,B,2
50,M,2
50,A,0
51,Outside,105
51,IM1,9
51,E,16
51,C,4
51,K,2
51,N,3
51,H,13
51,GH,9
51,G,17
51,F,18
51,D,11
51,L,6
51,IM2,4
51,J,2
51,B,1
51,M,1
51,A,0
52,Outside,105
52,IM1,6
52,E,19
52,C,4
52,K,3
52,N,4
52,H,16
52,GH,9
52,G,12
52,F,21
52,D,14
52,L,5
52,IM2,5
52,J,2
52,B,2
52,M,0
52,A,0
53,Outside,128
53,IM1,7
53,E,11
53,C,6
53,K,5
53,N,5
53,H,10
53,GH,9
53,G,16
53,F,17
53,D,8
53,L,3
53,IM2,2
53,J,3
53,B,1
53,M,1
53,A,0
54,Outside,108
54,IM1,7
54,E,19
54,C,7
54,K,4
54,N,4
54,H,12
54,GH,10
54,G,19
54,F,19
54,D,13
54,L,4
54,IM2,3
54,J,3
54,B,1
54,M,0
54,A,0
55,Outside,103
55,IM1,9
55,E,15
55,C,4
55,K,3
55,N,8
55,H,19
55,GH,9
55,G,21
55,F,19
55,D,9
55,L,4
55,IM2,4
55,J,2
55,B,2
55,M,0
55,A,0
56,Outside,130
56,IM1,7
56,E,14
56,C,6
56,K,5
56,N,8
56,H,12
56,GH,5
56,G,14
56,F,12
56,D,14
56,L,2
56,IM2,1
56,J,2
56,B,3
56,M,0
56,A,0
57,Outside,110
57,IM1,12
57,E,19
57,C,7
57,K,1
57,N,8
57,H,14
57,GH,6
57,G,15
57,F,17
57,D,17
57,L,3
57,IM2,4
57,J,0
57,B,2
57,M,0
57,A,0
58,Outside,111
58,IM1,8
58,E,21
58,C,5
58,K,3
58,N,8
58,H,14
58,GH,8
58,G,19
58,F,17
58,D,11
58,L,3
58,IM2,10
58,J,1
58,B,4
58,M,0
58,A,0
59,Outside,88
59,IM1,11
59,E,18
59,C,7
59,K,4
59,N,8
59,H,25
59,GH,8
59,G,22
59,F,20
59,D,13
59,L,4
59,IM2,4
59,J,3
59,B,4
59,M,0
59,A,0
60,Outside,100
60,IM1,0
60,E,20
60,C,7
60,K,2
60,N,8
60,H,19
60,GH,11
60,G,19
60,F,20
60,D,12
60,L,3
60,IM2,5
60,J,2
60,B,2
60,M,0
60,A,0
61,Outside,101
61,IM1,9
61,E,14
61,C,7
61,K,4
61,N,8
61,H,15
61,GH,8
61,G,23
61,F,13
61,D,13
61,L,6
61,IM2,6
61,J,5
61,B,3
61,M,0
61,A,0
62,Outside,102
62,IM1,7
62,E,16
62,C,7
62,K,7
62,N,7
62,H,18
62,GH,2
62,G,15
62,F,20
62,D,13
62,L,2
62,IM2,5
62,J,3
62,B,4
62,M,0
62,A,0
63,Outside,118
63,IM1,9
63,E,5
63,C,6
63,K,4
63,N,5
63,H,13
63,GH,8
63,G,19
63,F,16
63,D,8
63,L,3
63,IM2,4
63,J,4
63,B,3
63,M,0
63,A,0
64,Outside,112
64,IM1,1
64,E,17
64,C,6
64,K,4
64,N,8
64,H,17
64,GH,8
64,G,19
64,F,15
64,D,9
64,L,4
64,IM2,3
64,J,4
64,B,2
64,M,0
64,A,0
65,Outside,125
65,IM1,11
65,E,13
65,C,3
65,K,3
65,N,8
65,H,12
65,GH,3
65,G,13
65,F,23
65,D,8
65,L,3
65,IM2,3
65,J,4
65,B,1
65,M,0
65,A,0
66,Outside,108
66,IM1,11
66,E,14
66,C,4
66,K,3
66,N,8
66,H,11
66,GH,5
66,G,9
66,F,17
66,D,10
66,L,3
66,IM2,5
66,J,5
66,B,3
66,M,0
66,A,0
67,Outside,110
67,IM1,8
67,E,11
67,C,4
67,K,3
67,N,7
67,H,14
67,GH,7
67,G,13
67,F,14
67,D,8
67,L,4
67,IM2,4
67,J,3
67,B,2
67,M,0
67,A,0
68,Outside,105
68,IM1,8
68,E,10
68,C,5
68,K,2
68,N,7
68,H,15
68,GH,3
68,G,17
68,F,17
68,D,10
68,L,3
68,IM2,5
68,J,3
68,B,1
68,M,0
68,A,0
69,Outside,111
69,IM1,9
69,E,13
69,C,5
69,K,3
69,N,9
69,H,12
69,GH,8
69,G,16
69,F,10
69,D,7
69,L,2
69,IM2,6
69,J,2
69,B,4
69,M,0
69,A,0
70,Outside,103
70,IM1,7
70,E,8
70,C,6
70,K,3
70,N,7
70,H,10
70,GH,7
70,G,23
70,F,18
70,D,10
70,L,3
70,IM2,3
70,J,4
70,B,2
70,M,0
70,A,0
71,Outside,106
71,IM1,9
71,E,9
71,C,4
71,K,4
71,N,7
71,H,17
71,GH,5
71,G,14
71,F,11
71,D,7
71,L,1
71,IM2,4
71,J,6
71,B,2
71,M,0
71,A,0
72,Outside,103
72,IM1,8
72,E,17
72,C,6
72,K,4
72,N,7
72,H,15
72,GH,10
72,G,13
72,F,9
72,D,8
72,L,2
72,IM2,4
72,J,5
72,B,3
72,M,0
72,A,0
73,Outside,101
73,IM1,7
73,E,16
73,C,5
73,K,2
73,N,8
73,H,16
73,GH,5
73,G,16
73,F,14
73,D,5
73,L,3
73,IM2,4
73,J,3
73,B,1
73,M,0
73,A,0
74,Outside,81
74,IM1,8
74,E,19
74,C,8
74,K,1
74,N,8
74,H,12
74,GH,11
74,G,17
74,F,14
74,D,14
74,L,3
74,IM2,3
74,J,1
74,B,2
74,M,1
74,A,0
75,Outside,85
75,IM1,6
75,E,19
75,C,5
75,K,2
75,N,8
75,H,17
75,GH,8
75,G,17
75,F,16
75,D,8
75,L,3
75,IM2,4
75,J,3
75,B,4
75,M,0
75,A,0
76,Outside,117
76,IM1,6
76,E,15
76,C,7
76,K,3
76,N,8
76,H,10
76,GH,11
76,G,17
76,F,13
76,D,5
76,L,1
76,IM2,4
76,J,1
76,B,2
76,M,0
76,A,0
77,Outside,140
77,IM1,5
77,E,12
77,C,6
77,K,3
77,N,7
77,H,8
77,GH,8
77,G,11
77,F,11
77,D,3
77,L,2
77,IM2,5
77,J,1
77,B,2
77,M,0
77,A,0
78,Outside,116
78,IM1,7
78,E,11
78,C,6
78,K,2
78,N,7
78,H,9
78,GH,8
78,G,21
78,F,13
78,D,8
78,L,2
78,IM2,3
78,J,4
78,B,1
78,M,0
78,A,0
79,Outside,101
79,IM1,8
79,E,17
79,C,6
79,K,4
79,N,8
79,H,8
79,GH,4
79,G,18
79,F,14
79,D,8
79,L,2
79,IM2,4
79,J,1
79,B,7
79,M,0
79,A,0
80,Outside,113
80,IM1,7
80,E,20
80,C,6
80,K,3
80,N,8
80,H,12
80,GH,6
80,G,16
80,F,9
80,D,6
80,L,4
80,IM2,5
80,J,2
80,B,1
80,M,0
80,A,0
81,Outside,113
81,IM1,6
81,E,11
81,C,5
81,K,3
81,N,8
81,H,10
81,GH,12
81,G,16
81,F,16
81,D,6
81,L,3
81,IM2,4
81,J,3
81,B,2
81,M,1
81,A,0
82,Outside,114
82,IM1,6
82,E,14
82,C,5
82,K,4
82,N,9
82,H,9
82,GH,4
82,G,17
82,F,10
82,D,10
82,L,4
82,IM2,3
82,J,3
82,B,4
82,M,0
82,A,0
83,Outside,121
83,IM1,9
83,E,11
83,C,5
83,K,5
83,N,10
83,H,10
83,GH,7
83,G,9
83,F,13
83,D,12
83,L,2
83,IM2,2
83,J,5
83,B,3
83,M,0
83,A,0
84,Outside,91
84,IM1,6
84,E,23
84,C,4
84,K,3
84,N,8
84,H,10
84,GH,8
84,G,19
84,F,15
84,D,10
84,L,2
84,IM2,2
84,J,6
84,B,3
84,M,0
84,A,0
85,Outside,113
85,IM1,8
85,E,16
85,C,6
85,K,2
85,N,7
85,H,12
85,GH,9
85,G,12
85,F,15
85,D,7
85,L,4
85,IM2,3
85,J,6
85,B,2
85,M,0
85,A,0
86,Outside,76
86,IM1,6
86,E,24
86,C,7
86,K,4
86,N,8
86,H,9
86,GH,9
86,G,19
86,F,15
86,D,14
86,L,2
86,IM2,5
86,J,4
86,B,4
86,M,0
86,A,0
87,Outside,114
87,IM1,8
87,E,20
87,C,9
87,K,3
87,N,5
87,H,14
87,GH,8
87,G,13
87,F,12
87,D,6
87,L,3
87,IM2,3
87,J,5
87,B,4
87,M,1
87,A,0
88,Outside,116
88,IM1,4
88,E,15
88,C,7
88,K,4
88,N,8
88,H,9
88,GH,7
88,G,18
88,F,14
88,D,4
88,L,4
88,IM2,6
88,J,4
88,B,1
88,M,0
88,A,0
89,Outside,109
89,IM1,7
89,E,11
89,C,8
89,K,4
89,N,9
89,H,11
89,GH,8
89,G,12
89,F,15
89,D,8
89,L,3
89,IM2,3
89,J,3
89,B,2
89,M,0
89,A,0
90,Outside,116
90,IM1,11
90,E,11
90,C,5
90,K,2
90,N,9
90,H,17
90,GH,8
90,G,13
90,F,15
90,D,8
90,L,1
90,IM2,3
90,J,2
90,B,1
90,M,0
90,A,0
91,Outside,99
91,IM1,4
91,E,21
91,C,5
91,K,4
91,N,6
91,H,9
91,GH,11
91,G,12
91,F,17
91,D,10
91,L,3
91,IM2,6
91,J,3
91,B,2
91,M,0
91,A,0
92,Outside,104
92,IM1,9
92,E,14
92,C,6
92,K,6
92,N,9
92,H,10
92,GH,10
92,G,13
92,F,14
92,D,10
92,L,2
92,IM2,4
92,J,5
92,B,1
92,M,0
92,A,0
93,Outside,105
93,IM1,7
93,E,14
93,C,7
93,K,6
93,N,8
93,H,11
93,GH,12
93,G,16
93,F,12
93,D,5
93,L,1
93,IM2,4
93,J,1
93,B,2
93,M,0
93,A,0
94,Outside,108
94,IM1,8
94,E,23
94,C,6
94,K,5
94,N,8
94,H,11
94,GH,5
94,G,13
94,F,12
94,D,12
94,L,2
94,IM2,4
94,J,2
94,B,2
94,M,0
94,A,1
95,Outside,114
95,IM1,12
95,E,7
95,C,5
95,K,8
95,N,8
95,H,10
95,GH,9
95,G,16
95,F,15
95,D,13
95,L,1
95,IM2,5
95,J,3
95,B,1
95,M,0
95,A,0
96,Outside,107
96,IM1,12
96,E,18
96,C,4
96,K,6
96,N,9
96,H,14
96,GH,14
96,G,11
96,F,14
96,D,8
96,L,1
96,IM2,6
96,J,2
96,B,1
96,M,0
96,A,0
97,Outside,108
97,IM1,8
97,E,16
97,C,6
97,K,3
97,N,8
97,H,9
97,GH,13
97,G,13
97,F,16
97,D,9
97,L,2
97,IM2,6
97,J,6
97,B,1
97,M,0
97,A,1
98,Outside,97
98,IM1,3
98,E,12
98,C,7
98,K,6
98,N,9
98,H,9
98,GH,15
98,G,16
98,F,13
98,D,12
98,L,3
98,IM2,7
98,J,2
98,B,2
98,M,0
98,A,0
99,Outside,87
99,IM1,4
99,E,16
99,C,7
99,K,5
99,N,7
99,H,14
99,GH,10
99,G,15
99,F,16
99,D,15
99,L,1
99,IM2,4
99,J,1
99,B,5
