time_index,area,num_people
1,Outside,127
1,K,13
1,G,5
1,D,13
1,F,8
1,E,15
1,H,9
1,GH,14
1,B,2
1,IM2,2
1,J,3
1,C,4
1,IM1,1
1,L,1
1,N,0
1,M,0
1,A,0
2,Outside,136
2,K,12
2,G,8
2,D,7
2,F,9
2,E,11
2,H,12
2,GH,14
2,B,2
2,IM2,0
2,J,3
2,C,2
2,IM1,0
2,L,0
2,N,1
2,M,0
2,A,0
3,Outside,131
3,K,7
3,G,8
3,D,17
3,F,7
3,E,13
3,H,15
3,GH,16
3,B,0
3,IM2,0
3,J,6
3,C,5
3,IM1,1
3,L,0
3,N,1
3,M,1
3,A,0
4,Outside,156
4,K,5
4,G,11
4,D,13
4,F,4
4,E,7
4,H,12
4,GH,12
4,B,2
4,IM2,0
4,J,2
4,C,2
4,IM1,4
4,L,0
4,N,2
4,M,1
4,A,0
5,Outside,126
5,K,13
5,G,14
5,D,11
5,F,9
5,E,13
5,H,13
5,GH,15
5,B,2
5,IM2,0
5,J,3
5,C,4
5,IM1,4
5,L,0
5,N,2
5,M,0
5,A,0
6,Outside,151
6,K,5
6,G,12
6,D,11
6,F,8
6,E,14
6,H,11
6,GH,10
6,B,2
6,IM2,0
6,J,4
6,C,1
6,IM1,2
6,L,2
6,N,0
6,M,0
6,A,0
7,Outside,135
7,K,10
7,G,17
7,D,13
7,F,9
7,E,10
7,H,9
7,GH,11
7,B,3
7,IM2,0
7,J,4
7,C,2
7,IM1,2
7,L,1
7,N,2
7,M,0
7,A,0
8,Outside,123
8,K,11
8,G,9
8,D,19
8,F,8
8,E,18
8,H,11
8,GH,7
8,B,3
8,IM2,2
8,J,5
8,C,4
8,IM1,2
8,L,2
8,N,2
8,M,2
8,A,0
9,Outside,134
9,K,8
9,G,15
9,D,9
9,F,6
9,E,14
9,H,17
9,GH,9
9,B,4
9,IM2,0
9,J,4
9,C,4
9,IM1,3
9,L,2
9,N,2
9,M,1
9,A,0
10,Outside,136
10,K,9
10,G,10
10,D,14
10,F,6
10,E,13
10,H,13
10,GH,11
10,B,2
10,IM2,0
10,J,4
10,C,6
10,IM1,1
10,L,2
10,N,2
10,M,0
10,A,0
11,Outside,153
11,K,11
11,G,6
11,D,10
11,F,5
11,E,11
11,H,12
11,GH,14
11,B,2
11,IM2,0
11,J,3
11,C,5
11,IM1,0
11,L,2
11,N,1
11,M,0
11,A,0
12,Outside,128
12,K,4
12,G,10
12,D,10
12,F,11
12,E,12
12,H,15
12,GH,12
12,B,4
12,IM2,1
12,J,5
12,C,4
12,IM1,1
12,L,2
12,N,1
12,M,1
12,A,0
13,Outside,126
13,K,7
13,G,6
13,D,13
13,F,10
13,E,14
13,H,12
13,GH,18
13,B,2
13,IM2,0
13,J,6
13,C,6
13,IM1,0
13,L,4
13,N,2
13,M,1
13,A,0
14,Outside,134
14,K,8
14,G,8
14,D,14
14,F,6
14,E,15
14,H,12
14,GH,13
14,B,2
14,IM2,0
14,J,8
14,C,4
14,IM1,2
14,L,1
14,N,1
14,M,2
14,A,0
15,Outside,141
15,K,7
15,G,8
15,D,14
15,F,7
15,E,13
15,H,14
15,GH,9
15,B,3
15,IM2,0
15,J,5
15,C,2
15,IM1,2
15,L,1
15,N,3
15,M,1
15,A,0
16,Outside,110
16,K,8
16,G,11
16,D,17
16,F,9
16,E,20
16,H,15
16,GH,13
16,B,2
16,IM2,0
16,J,7
16,C,4
16,IM1,0
16,L,3
16,N,2
16,M,1
16,A,0
17,Outside,135
17,K,8
17,G,7
17,D,9
17,F,7
17,E,14
17,H,17
17,GH,13
17,B,4
17,IM2,0
17,J,6
17,C,1
17,IM1,3
17,L,3
17,N,1
17,M,1
17,A,0
18,Outside,132
18,K,10
18,G,9
18,D,12
18,F,9
18,E,15
18,H,14
18,GH,19
18,B,2
18,IM2,0
18,J,5
18,C,4
18,IM1,1
18,L,4
18,N,1
18,M,0
18,A,0
19,Outside,121
19,K,10
19,G,6
19,D,11
19,F,10
19,E,32
19,H,15
19,GH,12
19,B,8
19,IM2,1
19,J,4
19,C,0
19,IM1,2
19,L,1
19,N,1
19,M,0
19,A,0
20,Outside,124
20,K,9
20,G,11
20,D,14
20,F,12
20,E,14
20,H,14
20,GH,10
20,B,2
20,IM2,0
20,J,5
20,C,0
20,IM1,0
20,L,2
20,N,1
20,M,1
20,A,0
21,Outside,103
21,K,9
21,G,8
21,D,11
21,F,13
21,E,27
21,H,20
21,GH,7
21,B,2
21,IM2,1
21,J,5
21,C,3
21,IM1,1
21,L,4
21,N,1
21,M,1
21,A,0
22,Outside,122
22,K,11
22,G,8
22,D,10
22,F,11
22,E,23
22,H,15
22,GH,9
22,B,5
22,IM2,0
22,J,4
22,C,0
22,IM1,0
22,L,4
22,N,0
22,M,1
22,A,0
23,Outside,134
23,K,9
23,G,6
23,D,15
23,F,2
23,E,14
23,H,21
23,GH,5
23,B,4
23,IM2,0
23,J,2
23,C,3
23,IM1,2
23,L,4
23,N,1
23,M,1
23,A,0
24,Outside,123
24,K,10
24,G,6
24,D,12
24,F,5
24,E,20
24,H,22
24,GH,7
24,B,3
24,IM2,0
24,J,4
24,C,2
24,IM1,1
24,L,1
24,N,1
24,M,0
24,A,0
25,Outside,128
25,K,9
25,G,8
25,D,11
25,F,12
25,E,17
25,H,15
25,GH,9
25,B,2
25,IM2,0
25,J,6
25,C,2
25,IM1,1
25,L,4
25,N,1
25,M,1
25,A,0
26,Outside,121
26,K,7
26,G,11
26,D,11
26,F,12
26,E,15
26,H,15
26,GH,12
26,B,3
26,IM2,0
26,J,5
26,C,2
26,IM1,0
26,L,1
26,N,1
26,M,2
26,A,0
27,Outside,100
27,K,9
27,G,12
27,D,15
27,F,10
27,E,21
27,H,15
27,GH,9
27,B,4
27,IM2,2
27,J,8
27,C,2
27,IM1,2
27,L,2
27,N,1
27,M,2
27,A,0
28,Outside,118
28,K,6
28,G,11
28,D,12
28,F,10
28,E,18
28,H,14
28,GH,11
28,B,3
28,IM2,0
28,J,6
28,C,2
28,IM1,0
28,L,6
28,N,2
28,M,1
28,A,0
29,Outside,101
29,K,7
29,G,7
29,D,14
29,F,13
29,E,22
29,H,18
29,GH,11
29,B,4
29,IM2,0
29,J,5
29,C,3
29,IM1,0
29,L,4
29,N,1
29,M,2
29,A,0
30,Outside,113
30,K,6
30,G,12
30,D,12
30,F,11
30,E,16
30,H,21
30,GH,9
30,B,2
30,IM2,0
30,J,4
30,C,6
30,IM1,1
30,L,3
30,N,1
30,M,1
30,A,0
31,Outside,127
31,K,9
31,G,10
31,D,9
31,F,10
31,E,10
31,H,16
31,GH,12
31,B,3
31,IM2,0
31,J,5
31,C,2
31,IM1,0
31,L,5
31,N,1
31,M,2
31,A,0
32,Outside,111
32,K,8
32,G,10
32,D,14
32,F,15
32,E,17
32,H,19
32,GH,12
32,B,4
32,IM2,0
32,J,2
32,C,1
32,IM1,0
32,L,5
32,N,1
32,M,1
32,A,0
33,Outside,108
33,K,9
33,G,10
33,D,11
33,F,16
33,E,14
33,H,23
33,GH,10
33,B,7
